product_id,name,category,price,quantity,last_updated
1,"Wireless Headphones",Electronics,79.99,35,"2026-05-10 10:00:00"
2,"Phone Charger",Electronics,19.99,75,"2026-05-01 08:05:00"
3,"Water Bottle",Home,15.99,60,"2026-05-01 08:10:00"
4,"Running Shoes",Sports,64.99,25,"2026-05-01 08:15:00"
5,"Notebook Pack",School,8.99,100,"2026-05-01 08:20:00"
6,"Desk Lamp",Home,29.99,30,"2026-05-01 08:25:00"
7,Backpack,School,39.99,45,"2026-05-01 08:30:00"
8,"Coffee Mug",Home,12.99,80,"2026-05-01 08:35:00"
9,"Gaming Mouse",Electronics,34.99,20,"2026-05-01 08:40:00"
10,"Yoga Mat",Sports,24.99,35,"2026-05-01 08:45:00"
